,0
1255,1848-06-01
1256,1848-07-01
1257,1848-08-01
1258,1848-09-01
1259,1848-10-01
1260,1848-11-01
1261,1848-12-01
1262,1849-01-01
1263,1849-02-01
1264,1849-03-01
1265,1849-04-01
1266,1849-05-01
1267,1849-06-01
1268,1849-07-01
1269,1849-08-01
1270,1849-09-01
1271,1849-10-01
1272,1849-11-01
1273,1849-12-01
1274,1850-01-01
1275,1850-02-01
1276,1850-03-01
1277,1850-04-01
1278,1850-05-01
1279,1850-06-01
1280,1850-07-01
1281,1850-08-01
1282,1850-09-01
1283,1850-10-01
1284,1850-11-01
1285,1850-12-01
1286,1851-01-01
1287,1851-02-01
1288,1851-03-01
1289,1851-04-01
1290,1851-05-01
1291,1851-06-01
1292,1851-07-01
1293,1851-08-01
1294,1851-09-01
1295,1851-10-01
1296,1851-11-01
1297,1851-12-01
1298,1852-01-01
1299,1852-02-01
1300,1852-03-01
1301,1852-04-01
1302,1852-05-01
1303,1852-06-01
1304,1852-07-01
1305,1852-08-01
1306,1852-09-01
1307,1852-10-01
1308,1852-11-01
1309,1852-12-01
1310,1853-01-01
1311,1853-02-01
1312,1853-03-01
1313,1853-04-01
1314,1853-05-01
1315,1853-06-01
1316,1853-07-01
1317,1853-08-01
1318,1853-09-01
1319,1853-10-01
1320,1853-11-01
1321,1853-12-01
1322,1854-01-01
1323,1854-02-01
1324,1854-03-01
1325,1854-04-01
1326,1854-05-01
1327,1854-06-01
1328,1854-07-01
1329,1854-08-01
1330,1854-09-01
1331,1854-10-01
1332,1854-11-01
1333,1854-12-01
1334,1855-01-01
1335,1855-02-01
1336,1855-03-01
1337,1855-04-01
1338,1855-05-01
1339,1855-06-01
1340,1855-07-01
1341,1855-08-01
1342,1855-09-01
1343,1855-10-01
1344,1855-11-01
1345,1855-12-01
1346,1856-01-01
1347,1856-02-01
1348,1856-03-01
1349,1856-04-01
1350,1856-05-01
1351,1856-06-01
1352,1856-07-01
1353,1856-08-01
1354,1856-09-01
1355,1856-10-01
1356,1856-11-01
1357,1856-12-01
1358,1857-01-01
1359,1857-02-01
1360,1857-03-01
